raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/time/total_timesteps,raw/gen/time/fps,raw/gen/train/clip_fraction,raw/gen/train/learning_rate,raw/gen/train/n_updates,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/explained_variance,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/loss,raw/gen/train/approx_kl,raw/gen/train/entropy_loss,raw/gen/train/value_loss
19,198,159744,392,0.000634765625,0.000105,190,-20.044568994641303,0.6713138222694397,-0.0004974183917511255,0.1,0.4892999529838562,0.00032812386,-1.266070118546486,2.2015620440244676
20,209,163840,391,0.001513671875,0.00010250000000000001,195,-19.82482473805547,0.6559875905513763,-0.0005294762551784516,0.1,0.45102062821388245,0.00016348707,-1.278696197271347,2.0682156085968018
1,3,167936,1094,0.00087890625,0.0001,200,-19.810655415952205,0.7030975222587585,-0.00032958510564640164,0.1,0.3980846405029297,0.00040493297,-1.2601111561059952,1.9027500987052917
2,14,172032,572,0.311865234375,0.00013166666666666668,205,-43.41440857902169,0.29440319538116455,0.009266135911457241,0.1,18.168107986450195,0.0070680315,-1.3456835925579071,75.47470340728759
3,25,176128,479,0.0009765625,0.00013000000000000002,210,-55.77061178982258,0.0019867420196533203,6.551970145665109e-05,0.1,20.026779174804688,6.393081e-05,-1.3102712124586104,79.54244422912598
4,36,180224,453,0.004833984375,0.00012833333333333333,215,-54.72331152200699,0.001700758934020996,-0.00037567989784292877,0.1,17.987701416015625,0.00046988946,-1.3481812447309494,75.2618989944458
5,46,184320,441,0.00126953125,0.0001266666666666667,220,-55.431016813516614,0.0005033612251281738,-0.00024329492589458823,0.1,20.216386795043945,0.00033386715,-1.3559073358774185,79.52517681121826
6,56,188416,431,0.0001953125,0.000125,225,-55.36609159946442,0.00034242868423461914,-0.00010353142861276864,0.1,18.634855270385742,0.00016259703,-1.3725542664527892,75.63089485168457
7,67,192512,424,0.0,0.00012333333333333334,230,-54.68965284347534,0.00023865699768066406,-0.00021129304077476262,0.1,17.490713119506836,9.840408e-05,-1.383650967478752,74.45631313323975
8,77,196608,420,0.0,0.00012166666666666668,235,-55.36078274071217,0.0001379847526550293,-4.624726716428995e-05,0.1,18.03105926513672,8.702128e-05,-1.392446544766426,75.91912155151367
9,88,200704,417,0.0001953125,0.00012,240,-54.54494481384754,0.00013005733489990234,-0.0005476524471305311,0.1,16.758371353149414,0.0001774915,-1.4001366525888443,70.24139041900635
10,98,204800,414,0.00283203125,0.00011833333333333334,245,-55.209305952787396,0.00012689828872680664,-0.00044692275114357474,0.1,19.47931480407715,0.00062853564,-1.4156820058822632,76.56161689758301
11,109,208896,413,0.00498046875,0.00011666666666666667,250,-55.47353275179863,7.659196853637695e-05,-0.0008656223129946738,0.1,17.515113830566406,0.00081026065,-1.4387220084667205,71.40317802429199
12,119,212992,411,4.8828125e-05,0.000115,255,-54.176064848303795,6.93202018737793e-05,-0.0005473833531141281,0.1,15.416114807128906,0.0002619598,-1.4558300018310546,65.50145444869995
13,129,217088,410,0.002880859375,0.00011333333333333334,260,-53.991789053082464,6.0498714447021484e-05,-0.0005891502660233527,0.1,16.997955322265625,0.0006153622,-1.4693100959062577,70.01787910461425
14,140,221184,409,4.8828125e-05,0.00011166666666666668,265,-54.77015471577644,5.799531936645508e-05,-0.00045683843782171605,0.1,17.215667724609375,0.0003825614,-1.4790699183940887,68.80130214691162
15,150,225280,409,0.004833984375,0.00011,270,-53.993072333335874,5.543231964111328e-05,-0.0007376597262918949,0.1,15.190850257873535,0.0007472037,-1.498475155234337,63.590396308898924
16,160,229376,409,0.00673828125,0.00010833333333333334,275,-52.61231497704983,3.88026237487793e-05,-0.0006239507696591317,0.1,15.004796028137207,0.00063708186,-1.513430854678154,62.85645570755005
17,170,233472,409,0.00654296875,0.00010666666666666667,280,-50.87716850042343,3.886222839355469e-05,-0.00041709237266331913,0.1,13.279173851013184,0.0008585229,-1.5264750838279724,51.64569911956787
18,180,237568,408,0.0,0.000105,285,-50.96926019787789,3.4332275390625e-05,-0.00013318790588527917,0.1,14.020458221435547,0.00013298771,-1.5274611055850982,56.828168106079104
19,190,241664,409,0.0,0.00010333333333333334,290,-52.176262721419334,3.1948089599609375e-05,-0.0008015167200937867,0.1,15.299883842468262,0.0005494418,-1.5255020529031753,60.0004096031189
20,200,245760,408,0.000390625,0.00010166666666666668,295,-51.5480201536417,3.319978713989258e-05,-0.0003890298132319003,0.1,13.701143264770508,0.0006237535,-1.527521151304245,52.134282779693606
1,3,249856,1359,0.002197265625,0.0001,300,-50.30753436565399,2.014636993408203e-05,-0.000579776446102187,0.1,12.21253776550293,0.0002954285,-1.5347871273756026,52.26464977264404
2,13,253952,627,9.765625e-05,0.00012375,305,-87.04516974270344,6.616115570068359e-06,-0.00012214474845677613,0.1,86.47476196289062,7.5782125e-05,-1.5295051515102387,338.4146614074707
3,23,258048,525,0.0,0.0001225,310,-107.51806804180146,5.900859832763672e-06,-0.00010442520724609494,0.1,85.58981323242188,0.00010056091,-1.5364495545625687,345.6766555786133
4,34,262144,481,0.0,0.00012125,315,-107.97475806355476,5.424022674560547e-06,-0.0002819519664626569,0.1,91.0644302368164,7.0272654e-05,-1.5401847183704376,359.49755783081054
5,44,266240,464,0.0001953125,0.00012,320,-111.5671913433075,5.0067901611328125e-06,-0.00043577085016295315,0.1,92.34262084960938,0.0003193682,-1.5465460181236268,382.58888092041013
6,54,270336,454,0.00654296875,0.00011875000000000001,325,-107.77164783716202,4.649162292480469e-06,-0.0008879078552126885,0.1,78.72477722167969,0.0008778238,-1.5554785430431366,337.78513793945314
7,63,274432,448,0.0,0.00011750000000000001,330,-104.27586840510368,4.470348358154297e-06,-0.00010425884393043816,0.1,81.794189453125,6.918417e-05,-1.555454581975937,317.6580955505371
8,73,278528,442,9.765625e-05,0.00011625,335,-105.29173743605614,4.112720489501953e-06,-0.0002049682749202475,0.1,82.569580078125,0.00021035745,-1.5580433070659638,331.5193328857422
9,84,282624,437,0.0,0.000115,340,-105.60310478448868,3.814697265625e-06,-0.0001809035486076027,0.1,78.96336364746094,0.000136664,-1.5628636807203293,312.2979133605957
10,94,286720,435,0.0,0.00011375,345,-103.75469580769538,3.4570693969726562e-06,-0.0001040782139170915,0.1,72.03797149658203,6.65706e-05,-1.5647601783275604,314.44430618286134
11,103,290816,433,0.008935546875,0.00011250000000000001,350,-106.17412800431252,3.814697265625e-06,-0.0005925831472268328,0.1,77.00753784179688,0.0008523172,-1.5697816848754882,314.3075782775879
12,113,294912,431,0.00615234375,0.00011125000000000001,355,-105.81711616873741,3.516674041748047e-06,-0.0007452649588230997,0.1,82.49007415771484,0.00094365096,-1.5792742788791656,323.0854202270508
13,123,299008,430,0.0,0.00011,360,-104.67422195911408,3.2782554626464844e-06,-0.00018713806639425457,0.1,72.67915344238281,0.00028095822,-1.5804524451494217,306.4319679260254
14,133,303104,429,4.8828125e-05,0.00010875000000000001,365,-104.51492599844933,2.2649765014648438e-06,-0.0004003498062957078,0.1,72.81958770751953,0.00064492784,-1.580122384428978,305.9362617492676
15,143,307200,428,0.0,0.0001075,370,-101.99722849607468,2.384185791015625e-06,-0.00010275796521455049,0.1,69.82145690917969,2.5589092e-05,-1.5864321351051331,290.7079246520996
16,153,311296,426,4.8828125e-05,0.00010625000000000001,375,-102.88218074560166,2.9802322387695312e-06,-0.00025509510887786744,0.1,73.84230041503906,8.0103666e-05,-1.5865745484828948,307.80330963134764
17,163,315392,425,0.010009765625,0.000105,380,-105.55508453130722,2.205371856689453e-06,-0.0009242788248229772,0.1,75.04749298095703,0.0011710706,-1.585365679860115,320.56455307006837
18,173,319488,425,0.0,0.00010375,385,-106.42232931017875,2.3245811462402344e-06,-0.00019349590293131768,0.1,78.50586700439453,2.021795e-05,-1.5790265560150147,322.68303833007815
19,183,323584,424,0.0,0.00010250000000000001,390,-106.8626553952694,2.205371856689453e-06,-0.0002466577920131385,0.1,80.62257385253906,0.0001565446,-1.580310344696045,317.6082000732422
20,192,327680,424,4.8828125e-05,0.00010125,395,-103.55955465197563,1.6093254089355469e-06,-0.0003479070670437068,0.1,75.08917999267578,0.0006876763,-1.5840639412403106,286.85999221801757
1,2,331776,1442,0.0095703125,0.0001,400,-100.44845749258995,1.7881393432617188e-06,-0.0007368900696747005,0.1,62.26638412475586,0.00092797016,-1.5914012014865875,253.39413108825684
2,12,335872,649,0.0,0.00011899999999999999,405,-111.28799213528633,1.3709068298339844e-06,-0.00016759219579398632,0.1,99.88433074951172,0.00023413284,-1.5954651325941085,402.25514221191406
3,23,339968,520,0.0,0.00011800000000000001,410,-118.70984599828721,1.1920928955078125e-06,-0.00016715399688109754,0.1,92.14556884765625,0.0004938109,-1.5983185023069382,386.3771141052246
4,33,344064,486,0.003076171875,0.00011700000000000001,415,-118.53113089680672,1.430511474609375e-06,-0.0007720950758084655,0.1,99.50717163085938,0.0011122596,-1.6013457477092743,411.7911430358887
5,43,348160,473,0.0,0.000116,420,-119.89096064090728,1.3709068298339844e-06,-7.185040158219635e-05,0.1,103.8066177368164,8.607472e-06,-1.601476576924324,406.22128982543944
6,52,352256,464,0.0,0.000115,425,-118.32986670851707,1.3709068298339844e-06,-9.31941467570141e-05,0.1,99.13790893554688,6.538807e-05,-1.6013542711734772,395.4468109130859
7,62,356352,458,0.0,0.000114,430,-117.74163156628609,1.1920928955078125e-06,-5.6079431669786575e-05,0.1,93.91769409179688,6.807037e-05,-1.6012707591056823,380.29415740966795
8,72,360448,454,0.0,0.00011300000000000001,435,-116.5611853814125,1.1324882507324219e-06,-8.168336935341359e-05,0.1,89.14592742919922,3.1025193e-05,-1.6011214464902879,368.5619697570801
9,82,364544,448,0.0,0.00011200000000000001,440,-116.97732778668404,8.940696716308594e-07,-0.00020707720541395246,0.1,93.0537338256836,2.16099e-05,-1.600732970237732,374.77024993896487
10,91,368640,446,0.0,0.000111,445,-116.83612973093986,1.0132789611816406e-06,-0.0003905737306922674,0.1,94.26893615722656,0.00016252002,-1.6001792043447494,372.327165222168
11,101,372736,445,4.8828125e-05,0.00011,450,-116.10694602251053,1.0728836059570312e-06,-5.763292137999088e-05,0.1,91.57670593261719,2.5062676e-05,-1.5990033328533173,362.7217658996582
12,110,376832,443,0.000634765625,0.000109,455,-115.35482765436173,8.940696716308594e-07,-0.00046302471309900284,0.1,89.95628356933594,0.0009020985,-1.5992344826459886,361.09001235961915
13,120,380928,441,0.012255859375,0.000108,460,-116.20889533758164,1.0132789611816406e-06,-0.0006107117224019021,0.1,88.07939910888672,0.001472171,-1.5973480880260467,369.3797981262207
14,130,385024,439,0.0,0.000107,465,-116.29194026589394,2.980232238769531e-07,-0.00011897922377102077,0.1,87.43738555908203,0.00068447244,-1.5955136299133301,356.483211517334
15,140,389120,437,0.0126953125,0.00010600000000000002,470,-116.18503167748452,5.960464477539062e-07,-0.0005730770179070532,0.1,92.13104248046875,0.00091510813,-1.5950851559638977,363.25052337646486
16,150,393216,435,0.0,0.000105,475,-116.15294354200363,5.960464477539062e-07,-9.206228423863649e-06,0.1,94.5300064086914,4.1699168e-05,-1.5968076407909393,367.75682907104493
17,160,397312,434,0.0236328125,0.00010400000000000001,480,-116.48902730822563,5.960464477539062e-07,-0.00041562090045772494,0.1,87.0208511352539,0.00050803926,-1.5947614133358001,361.23548889160156
18,170,401408,433,0.01396484375,0.00010300000000000001,485,-116.42224389791488,6.556510925292969e-07,-0.0005881436984054745,0.1,91.7537612915039,0.0015477748,-1.5920740813016891,359.60996017456057
19,180,405504,432,0.0,0.00010200000000000001,490,-116.34653431773185,7.152557373046875e-07,3.688244032673538e-06,0.1,90.17652893066406,8.779694e-06,-1.589350101351738,352.70736236572264
20,190,409600,431,0.011767578125,0.000101,495,-115.61807858943939,4.76837158203125e-07,-0.0005887283361516893,0.1,87.231689453125,0.000517616,-1.5924956381320954,347.4518913269043
1,2,413696,1387,0.02744140625,0.0001,500,-114.99543594241142,5.364418029785156e-07,-0.00149876190116629,0.1,94.08670043945312,0.001361694,-1.5951921343803406,356.1022132873535
2,13,417792,624,0.001171875,0.00011583333333333333,505,-103.11340075850487,2.980232238769531e-07,-0.0002245732641313225,0.1,53.481727600097656,0.00014075502,-1.5960706740617752,217.16100425720214
3,23,421888,518,0.0,0.000115,510,-95.07314764142036,6.556510925292969e-07,3.852835507132113e-05,0.1,51.94464111328125,3.679117e-05,-1.5964669674634933,210.16260452270507
4,34,425984,479,0.0,0.00011416666666666667,515,-95.00324456214905,7.748603820800781e-07,-5.0935044419020416e-05,0.1,51.93599319458008,7.329596e-05,-1.5965600609779358,210.907377243042
5,44,430080,459,0.0076171875,0.00011333333333333334,520,-95.01754774689674,8.344650268554688e-07,-0.0004599352338118479,0.1,52.340843200683594,0.0012408798,-1.5965728789567948,210.4261734008789
6,54,434176,447,0.01455078125,0.00011250000000000001,525,-95.88082872986793,4.172325134277344e-07,-0.0008317624568007886,0.1,53.51967239379883,0.00095026626,-1.5954845547676086,214.65324440002442
7,64,438272,442,0.00439453125,0.00011166666666666668,530,-95.50947295308113,-1.1920928955078125e-07,-0.0005217388912569732,0.1,51.1631965637207,0.0014404405,-1.5936187595129012,209.46446495056153
8,74,442368,437,0.0,0.00011083333333333333,535,-94.83331140160561,1.7881393432617188e-07,2.7790560852736235e-05,0.1,50.24797821044922,4.456035e-05,-1.5926380068063737,204.44244422912598
9,84,446464,435,0.02138671875,0.00011,540,-94.61624150514602,2.980232238769531e-07,-0.0007558248064015061,0.1,50.1591911315918,0.0013211017,-1.5942892581224442,201.6205799102783
10,94,450560,434,0.0544921875,0.00010916666666666667,545,-95.00502421975136,7.748603820800781e-07,-0.0019306782633066177,0.1,50.1003532409668,0.0016937824,-1.5916289657354354,203.86642875671387
11,104,454656,433,0.000390625,0.00010833333333333334,550,-95.32403615355491,7.152557373046875e-07,-0.0002783488831482828,0.1,51.7231559753418,0.00030112267,-1.5910414904356003,203.8347255706787
12,113,458752,432,0.000634765625,0.0001075,555,-94.87744171738625,5.364418029785156e-07,-0.00013954859459772707,0.1,49.58379364013672,6.156301e-05,-1.590724828839302,199.73215141296387
13,123,462848,431,0.011376953125,0.00010666666666666667,560,-94.90332204580307,7.748603820800781e-07,-0.0007119391055312007,0.1,49.64312744140625,0.0012519915,-1.5912683010101318,202.89120178222657
14,133,466944,430,0.0,0.00010583333333333334,565,-94.48580011248589,5.960464477539062e-07,-0.00016265852609649302,0.1,47.89414596557617,0.00072589895,-1.5934928208589554,192.74091567993165
15,143,471040,429,0.0,0.000105,570,-94.62305743217468,-2.384185791015625e-07,-6.298173684626818e-05,0.1,49.160133361816406,0.00010727369,-1.5919939965009688,195.82188110351564
16,152,475136,428,9.765625e-05,0.00010416666666666667,575,-94.86855902433395,-1.1920928955078125e-07,-0.00014732192794326694,0.1,47.78499984741211,4.508249e-05,-1.5924042284488678,195.5688148498535
17,162,479232,428,0.010009765625,0.00010333333333333334,580,-95.07155424594879,-1.1920928955078125e-07,-0.0007428154174704104,0.1,48.76417541503906,0.0008264936,-1.589703980088234,196.9930561065674
18,172,483328,428,9.765625e-05,0.00010250000000000001,585,-94.31765280127526,-1.1920928955078125e-07,-0.0001648909761570394,0.1,45.53729248046875,0.00048037904,-1.5896943032741546,188.01233406066893
19,181,487424,427,0.016015625,0.00010166666666666668,590,-93.87153492808342,3.5762786865234375e-07,-0.0008272902225144208,0.1,45.94927215576172,0.0014333393,-1.5900855511426926,187.7795040130615
20,191,491520,427,0.0,0.00010083333333333334,595,-93.89354359507561,0.0,-2.6018463540822267e-05,0.1,45.690425872802734,5.562177e-05,-1.5910657554864884,189.92374382019042
1,2,495616,1446,4.8828125e-05,0.0001,600,-94.27167984008788,4.172325134277344e-07,-0.00033418433740735055,0.1,44.64225387573242,0.0007530377,-1.5900946736335755,190.43236961364747
2,12,499712,635,0.0,0.00011357142857142858,605,-88.75806427001953,1.7881393432617188e-07,-0.0002509673708118498,0.1,35.944766998291016,0.00082045724,-1.5879183262586594,150.65287399291992
3,22,503808,539,0.00107421875,0.00011285714285714286,610,-86.15121188163758,-1.1920928955078125e-07,-8.14697181340307e-05,0.1,35.432701110839844,6.2851715e-05,-1.5856605619192123,149.53104476928712
4,32,507904,502,0.013134765625,0.00011214285714285715,615,-86.14438543915749,-1.1920928955078125e-07,-0.0004173554538283497,0.1,37.15571212768555,0.0016105443,-1.583156257867813,148.6785575866699
5,43,512000,474,0.023583984375,0.00011142857142857143,620,-86.13741941213608,3.5762786865234375e-07,-0.0013187527976697311,0.1,36.991825103759766,0.0015784424,-1.5740545868873597,147.84561157226562
6,52,516096,465,0.00546875,0.00011071428571428571,625,-86.13100568413735,-1.1920928955078125e-07,-0.0003711079247295856,0.1,36.378204345703125,0.0013356166,-1.5743325501680374,146.57301979064943
7,62,520192,456,0.02578125,0.00011,630,-86.05944728851318,-1.1920928955078125e-07,-0.0010285493219271303,0.1,35.43232345581055,0.001672615,-1.5725111752748488,145.24253044128417
8,72,524288,451,0.0005859375,0.0001092857142857143,635,-86.07450893521309,7.152557373046875e-07,-0.0002915212884545326,0.1,34.6634635925293,0.0002751652,-1.561722606420517,145.00887222290038
9,82,528384,447,0.006591796875,0.00010857142857142858,640,-86.17071426868439,-1.1920928955078125e-07,-0.00021512332023121417,0.1,35.57680892944336,0.0005380572,-1.5664153069257736,143.9408473968506
10,92,532480,444,9.765625e-05,0.00010785714285714287,645,-86.04145210504532,-1.1920928955078125e-07,-0.00035720099695026877,0.1,34.48420715332031,0.0009444579,-1.5730696856975555,142.44801712036133
11,101,536576,442,0.02080078125,0.00010714285714285715,650,-86.02024453759194,1.1920928955078125e-07,-0.000759199628373608,0.1,34.064083099365234,0.0020239125,-1.5715246558189393,141.78202056884766
12,111,540672,440,0.01220703125,0.00010642857142857143,655,-86.03536501407623,2.980232238769531e-07,-0.0005050511099398136,0.1,33.178802490234375,0.0013305817,-1.5716874420642852,141.27099838256837
13,121,544768,437,9.765625e-05,0.00010571428571428572,660,-86.0692364013195,1.7881393432617188e-07,-0.00018129227682948113,0.1,34.19875717163086,7.509094e-05,-1.5724534749984742,140.61662216186522
14,131,548864,435,0.009521484375,0.000105,665,-86.24079007267952,-1.1920928955078125e-07,-0.0006682847801130265,0.1,34.057891845703125,0.0014310451,-1.5791258335113525,140.00585556030273
15,141,552960,434,0.0,0.00010428571428571428,670,-86.18275480628013,2.980232238769531e-07,-7.911996799521148e-05,0.1,33.051509857177734,0.000407998,-1.5845930337905885,138.95917816162108
16,150,557056,434,0.000244140625,0.00010357142857142858,675,-86.13854987978935,0.0,-0.00021019362611696124,0.1,34.118736267089844,0.00060572894,-1.5830075800418855,138.1274112701416
17,160,561152,433,0.031787109375,0.00010285714285714286,680,-86.1577044904232,-1.1920928955078125e-07,-0.001756937213940546,0.1,31.705047607421875,0.002156599,-1.5731122732162475,137.09201335906982
18,170,565248,433,0.000244140625,0.00010214285714285715,685,-86.08836288094521,-1.1920928955078125e-07,-0.000170304870698601,0.1,34.2510871887207,6.513238e-05,-1.568747767806053,136.1226734161377
19,179,569344,432,4.8828125e-05,0.00010142857142857143,690,-86.10656335949898,-1.1920928955078125e-07,-0.00021316897473298014,0.1,32.051578521728516,0.00067119574,-1.5716259211301804,135.56610336303712
20,189,573440,432,0.00185546875,0.00010071428571428571,695,-86.09775430202484,-1.1920928955078125e-07,-0.00045677026500925424,0.1,33.57086181640625,0.00051960733,-1.5739259123802185,134.5850160598755
1,2,577536,1381,9.765625e-05,0.0001,700,-86.07514210700988,-1.1920928955078125e-07,-6.504601915366948e-05,0.1,32.308799743652344,0.00010408097,-1.569333377480507,133.42857418060302
2,12,581632,630,0.000439453125,0.00011187500000000001,705,-92.26976249217986,0.0,-0.00027096925186924635,0.1,47.636329650878906,0.0003798948,-1.569711434841156,194.09606895446777
3,23,585728,525,0.02265625,0.00011125000000000001,710,-96.03351105809212,-2.384185791015625e-07,-0.0014950257609598339,0.1,46.86494445800781,0.0016154281,-1.5790962606668473,193.7399486541748
4,33,589824,486,0.0025390625,0.000110625,715,-95.77320293426514,-2.384185791015625e-07,-0.00021943746833130717,0.1,46.543907165527344,0.0013700011,-1.5859852939844132,190.54907341003417
5,44,593920,462,0.058349609375,0.00011,720,-95.58497347712517,-1.1920928955078125e-07,-0.0018961323890835046,0.1,46.88465118408203,0.0023450311,-1.5862106829881668,190.0128147125244
6,54,598016,453,0.0220703125,0.000109375,725,-95.23583380818367,-2.384185791015625e-07,-0.0010713739378843457,0.1,44.52463150024414,0.001953314,-1.5915491729974747,183.9530937194824
